REPORTE CONTRASTE DE AVALUOS:

Total registros en Excel: 789
Total registros en XML: 789
Registros en ambas fuentes: 789
Registros solo en Excel: 0 ()
Registros solo en XML: 0 ()
Diferencias en avalúo (en registros comunes con diferencia): 38
Número Predial: 254360100000000240014000000002 - Diferencia: 0.0034152266446501045
Número Predial: 254360100000000100020200000000 - Diferencia: 0.0038847314120005194
Número Predial: 254360100000000230042000000000 - Diferencia: 0.0026513877860026014
Número Predial: 254360100000000010018200000000 - Diferencia: 0.0008043655153073814
Número Predial: 254360100000000020059000000000 - Diferencia: 0.004626732259964683
Número Predial: 254360100000000140039000000000 - Diferencia: 0.0022022704158075612
Número Predial: 254360100000000070010000000000 - Diferencia: 0.004725291749991811
Número Predial: 254360100000000020052000000000 - Diferencia: 0.0001377257660237774
Número Predial: 254360100000000090010000000000 - Diferencia: 0.0029421913366007857
Número Predial: 254360100000000150031000000000 - Diferencia: 2.68489941390726e-09
Número Predial: 254360100000000170001200000000 - Diferencia: 0.0008988309310069553
Número Predial: 254360100000000230034000000000 - Diferencia: 0.003930941732022575
Número Predial: 254360100000000260011000000000 - Diferencia: 0.0002752851709999504
Número Predial: 254360100000000060088000000000 - Diferencia: 0.0011432953139944857
Número Predial: 254360100000000110022000000000 - Diferencia: 0.0012399191199037318
Número Predial: 254360100000000100011000000000 - Diferencia: 0.004795843052988857
Número Predial: 254360100000000070022000000000 - Diferencia: 0.0022809032160182596
Número Predial: 254360100000000110021000000000 - Diferencia: 0.002963347250300785
Número Predial: 254360100000000090007000000000 - Diferencia: 0.0017272177710196956
Número Predial: 254360100000000200006000000000 - Diferencia: 0.0016810274130136804
Número Predial: 254360100000000180001000000000 - Diferencia: 0.0013864984847984374
Número Predial: 254360100000000200036000000000 - Diferencia: 0.0017138409800736554
Número Predial: 254360100000000140083000000000 - Diferencia: 0.0038058457549965397
Número Predial: 254360100000000110005200000000 - Diferencia: 0.003337277812022421
Número Predial: 254360100000000060102000000000 - Diferencia: 0.0016096065139947768
Número Predial: 254360100000000180003000000000 - Diferencia: 0.0014028349641961313
Número Predial: 254360100000000110028200000000 - Diferencia: 0.001940037120988336
Número Predial: 254360100000000020054000000000 - Diferencia: 0.00048700575899829346
Número Predial: 254360100000000150064000000000 - Diferencia: 0.0011832921869938673
Número Predial: 254360100000000160011000000000 - Diferencia: 0.003460334964984213
Número Predial: 254360100000000150038000000000 - Diferencia: 0.004606747698062463
Número Predial: 254360100000000020013000000000 - Diferencia: 0.0039886204789922886
Número Predial: 254360100000000100006000000000 - Diferencia: 0.001055386597982988
Número Predial: 254360100000000020011000000000 - Diferencia: 0.0044443187669998
Número Predial: 254360100000000050009000000000 - Diferencia: 0.0036322448068020208
Número Predial: 254360100000000180002000000000 - Diferencia: 0.003053617090998273
Número Predial: 254360100000000020073000000000 - Diferencia: 0.0031127359810056987
Número Predial: 254360100000000150032000000000 - Diferencia: 0.002250000120397999
Número Predial: 254360100000000010022200000000 - Diferencia: 0.003644261387023562
Número Predial: 254360100000000150034000000000 - Diferencia: 0.0049999962628994865
Número Predial: 254360100000000150055000000000 - Diferencia: 0.0025022847980125107
Número Predial: 254360100000000160004000000000 - Diferencia: 0.0018408943730037208
Número Predial: 254360100000000140027200000000 - Diferencia: 0.0022046236369988037
Número Predial: 254360100000000040006200000000 - Diferencia: 0.0014383628650023184
Número Predial: 254360100000000200008000000000 - Diferencia: 0.004068754576053379
